origin_position_11,destination_position_11,n_passes,window,pattern_name
RB,CM,1,to_40,interior_exterior_same_side
LCB,CM,1,to_40,interior_exterior_opposite_side
CM,DM,1,to_40,interior_exterior_opposite_side
RB,CM,1,to_40,interior_exterior_opposite_side
CM,RB,1,to_40,interior_exterior_opposite_side
RB,CM,1,to_40,center_exit_pattern
CM,DM,1,to_40,center_exit_pattern
LW,RB,1,to_40,interior_exterior_opposite_side
CM,RB,1,to_40,interior_exterior_same_side
LCB,CM,1,to_40,interior_exterior_same_side
CM,CF,1,to_40,interior_exterior_same_side
RW,RCB,1,to_40,switch_of_play
DM,AM,1,to_40,interior_exterior_opposite_side
RB,GK,1,to_40,interior_exterior_same_side
LCB,RW,1,to_40,interior_exterior_same_side
LCB,CF,1,to_40,interior_exterior_same_side
CF,LCB,1,to_40,interior_exterior_same_side
AM,RCB,1,to_40,interior_exterior_same_side
DM,LCB,1,to_40,center_exit_pattern
GK,LW,1,to_40,outer_inner_exit
RB,GK,1,to_40,switch_of_play
LB,DM,1,to_40,interior_exterior_opposite_side
LB,AM,1,to_40,switch_of_play
LCB,RW,1,to_40,switch_of_play
RW,RCB,1,to_40,interior_exterior_same_side
GK,LB,1,to_40,interior_exterior_opposite_side
LCB,CM,1,to_40,outer_inner_exit
CM,CM,1,to_40,outer_inner_exit
RB,RW,1,to_40,other_pattern
RCB,CM,1,to_40,center_exit_pattern
CM,LW,1,to_40,center_exit_pattern
LW,CF,1,to_40,center_exit_pattern
CF,LB,1,to_40,center_exit_pattern
GK,LCB,68,to_60,interior_exterior_same_side
LCB,LB,40,to_60,interior_exterior_same_side
GK,RCB,40,to_60,interior_exterior_same_side
LCB,GK,31,to_60,interior_exterior_same_side
GK,LCB,30,to_60,interior_exterior_opposite_side
RCB,GK,27,to_60,interior_exterior_same_side
RCB,RB,25,to_60,interior_exterior_same_side
GK,LCB,23,to_60,switch_of_play
GK,RCB,23,to_60,switch_of_play
GK,RCB,22,to_60,interior_exterior_opposite_side
LCB,DM,22,to_60,interior_exterior_same_side
LCB,LB,21,to_60,switch_of_play
LCB,GK,18,to_60,switch_of_play
RCB,RB,18,to_60,switch_of_play
LCB,RCB,17,to_60,interior_exterior_opposite_side
RCB,LCB,17,to_60,switch_of_play
GK,LCB,15,to_60,center_exit_pattern
LB,LW,15,to_60,interior_exterior_same_side
RB,RW,15,to_60,interior_exterior_same_side
LCB,GK,15,to_60,other_pattern
LCB,DM,14,to_60,switch_of_play
LCB,RCB,14,to_60,interior_exterior_same_side
RCB,GK,13,to_60,switch_of_play
LCB,LB,13,to_60,interior_exterior_opposite_side
RCB,GK,13,to_60,interior_exterior_opposite_side
LB,LW,13,to_60,switch_of_play
GK,DM,13,to_60,interior_exterior_same_side
DM,RB,12,to_60,switch_of_play
RB,RCB,12,to_60,switch_of_play
DM,LB,12,to_60,interior_exterior_same_side
LCB,GK,11,to_60,interior_exterior_opposite_side
LCB,RCB,11,to_60,switch_of_play
RCB,LCB,11,to_60,interior_exterior_same_side
RCB,RB,10,to_60,interior_exterior_opposite_side
RB,RW,10,to_60,switch_of_play
LW,DM,10,to_60,switch_of_play
GK,LB,10,to_60,switch_of_play
GK,RB,10,to_60,outer_inner_exit
RCB,LCB,9,to_60,interior_exterior_opposite_side
LCB,DM,9,to_60,center_exit_pattern
DM,LCB,9,to_60,switch_of_play
GK,LB,9,to_60,other_pattern
RCB,GK,9,to_60,other_pattern
LB,LCB,9,to_60,switch_of_play
GK,LB,8,to_60,outer_inner_exit
GK,RCB,8,to_60,center_exit_pattern
GK,DM,8,to_60,switch_of_play
LB,DM,8,to_60,interior_exterior_same_side
RCB,GK,7,to_60,center_exit_pattern
RCB,AM,7,to_60,interior_exterior_same_side
LCB,GK,7,to_60,center_exit_pattern
GK,LCB,7,to_60,other_pattern
RCB,DM,7,to_60,interior_exterior_same_side
RCB,DM,7,to_60,interior_exterior_opposite_side
LCB,LB,7,to_60,outer_inner_exit
LB,LW,7,to_60,outer_inner_exit
DM,AM,7,to_60,interior_exterior_same_side
DM,LW,7,to_60,interior_exterior_same_side
RCB,DM,6,to_60,center_exit_pattern
LCB,LW,6,to_60,switch_of_play
DM,RB,6,to_60,interior_exterior_same_side
GK,RB,6,to_60,interior_exterior_opposite_side
DM,RW,6,to_60,interior_exterior_same_side
RCB,AM,6,to_60,switch_of_play
LB,GK,6,to_60,switch_of_play
RB,AM,6,to_60,interior_exterior_same_side
RCB,DM,6,to_60,switch_of_play
GK,RCB,6,to_60,other_pattern
RW,RB,6,to_60,interior_exterior_same_side
LB,LCB,5,to_60,interior_exterior_same_side
RCB,RB,5,to_60,outer_inner_exit
RW,RCB,5,to_60,switch_of_play
DM,LB,5,to_60,switch_of_play
DM,RCB,5,to_60,center_exit_pattern
RCB,CF,5,to_60,interior_exterior_same_side
LB,LW,5,to_60,other_pattern
RB,AM,5,to_60,interior_exterior_opposite_side
LCB,DM,5,to_60,interior_exterior_opposite_side
RB,RW,5,to_60,outer_inner_exit
LB,LW,5,to_60,interior_exterior_opposite_side
RW,AM,5,to_60,interior_exterior_same_side
LB,DM,5,to_60,outer_inner_exit
AM,RB,5,to_60,interior_exterior_same_side
DM,RCB,5,to_60,switch_of_play
GK,LCB,5,to_60,outer_inner_exit
AM,RW,5,to_60,interior_exterior_same_side
RCB,LW,5,to_60,interior_exterior_opposite_side
DM,LCB,5,to_60,interior_exterior_same_side
DM,DM,4,to_60,switch_of_play
DM,AM,4,to_60,switch_of_play
AM,RW,4,to_60,switch_of_play
LCB,RCB,4,to_60,center_exit_pattern
DM,AM,4,to_60,center_exit_pattern
GK,RCB,4,to_60,outer_inner_exit
GK,DM,4,to_60,center_exit_pattern
RB,RCB,4,to_60,interior_exterior_opposite_side
AM,RB,4,to_60,switch_of_play
RCB,LCB,4,to_60,other_pattern
LB,CF,4,to_60,interior_exterior_same_side
LCB,LW,4,to_60,interior_exterior_same_side
RB,RCB,4,to_60,outer_inner_exit
RB,RW,4,to_60,interior_exterior_opposite_side
DM,RB,4,to_60,interior_exterior_opposite_side
DM,RW,4,to_60,switch_of_play
DM,GK,4,to_60,interior_exterior_opposite_side
DM,RCB,4,to_60,interior_exterior_same_side
LCB,DM,4,to_60,other_pattern
RCB,RW,4,to_60,center_exit_pattern
RCB,LCB,3,to_60,center_exit_pattern
RW,AM,3,to_60,center_exit_pattern
LB,LCB,3,to_60,outer_inner_exit
RW,CF,3,to_60,interior_exterior_same_side
GK,RB,3,to_60,switch_of_play
LCB,CF,3,to_60,center_exit_pattern
RCB,LB,3,to_60,interior_exterior_opposite_side
LB,LCB,3,to_60,interior_exterior_opposite_side
LW,LB,3,to_60,interior_exterior_opposite_side
DM,LCB,3,to_60,outer_inner_exit
LCB,LB,3,to_60,other_pattern
GK,DM,3,to_60,other_pattern
RB,CF,3,to_60,outer_inner_exit
CF,LW,3,to_60,interior_exterior_same_side
LW,DM,3,to_60,interior_exterior_same_side
RB,DM,3,to_60,interior_exterior_same_side
LB,DM,3,to_60,switch_of_play
RW,LW,3,to_60,switch_of_play
RCB,DM,3,to_60,other_pattern
RCB,CF,3,to_60,interior_exterior_opposite_side
LCB,GK,3,to_60,outer_inner_exit
GK,RB,3,to_60,interior_exterior_same_side
GK,RB,3,to_60,other_pattern
RW,DM,3,to_60,interior_exterior_same_side
LCB,LW,3,to_60,outer_inner_exit
DM,GK,3,to_60,interior_exterior_same_side
GK,AM,2,to_60,outer_inner_exit
DM,AM,2,to_60,outer_inner_exit
AM,RW,2,to_60,center_exit_pattern
AM,DM,2,to_60,center_exit_pattern
LCB,CM,2,to_60,interior_exterior_opposite_side
CM,RB,2,to_60,center_exit_pattern
LCB,CM,2,to_60,interior_exterior_same_side
CM,DM,2,to_60,interior_exterior_same_side
RW,DM,2,to_60,switch_of_play
DM,CM,2,to_60,center_exit_pattern
LW,LCB,2,to_60,switch_of_play
CF,DM,2,to_60,interior_exterior_same_side
LCB,CF,2,to_60,interior_exterior_opposite_side
AM,DM,2,to_60,interior_exterior_opposite_side
DM,LW,2,to_60,interior_exterior_opposite_side
RCB,DM,2,to_60,outer_inner_exit
AM,DM,2,to_60,switch_of_play
CF,RW,2,to_60,switch_of_play
CF,DM,2,to_60,center_exit_pattern
DM,LCB,2,to_60,other_pattern
LCB,CF,2,to_60,other_pattern
RCB,RW,2,to_60,outer_inner_exit
RW,AM,2,to_60,outer_inner_exit
RW,RB,2,to_60,outer_inner_exit
LB,CF,2,to_60,other_pattern
CF,LW,2,to_60,other_pattern
RB,RCB,2,to_60,interior_exterior_same_side
DM,LW,2,to_60,center_exit_pattern
RCB,AM,2,to_60,center_exit_pattern
RCB,CF,2,to_60,outer_inner_exit
DM,DM,2,to_60,interior_exterior_same_side
RB,AM,2,to_60,outer_inner_exit
RB,CF,2,to_60,interior_exterior_same_side
LCB,CF,2,to_60,switch_of_play
DM,RCB,2,to_60,interior_exterior_opposite_side
AM,LW,2,to_60,interior_exterior_same_side
CF,DM,2,to_60,other_pattern
LW,LB,2,to_60,interior_exterior_same_side
DM,CF,2,to_60,center_exit_pattern
LW,CF,2,to_60,interior_exterior_same_side
GK,AM,2,to_60,interior_exterior_same_side
LCB,RW,2,to_60,outer_inner_exit
CF,LW,2,to_60,interior_exterior_opposite_side
CF,AM,2,to_60,interior_exterior_same_side
CF,RW,2,to_60,interior_exterior_same_side
AM,DM,2,to_60,interior_exterior_same_side
RB,AM,2,to_60,switch_of_play
RW,CF,2,to_60,outer_inner_exit
GK,LB,2,to_60,interior_exterior_same_side
RB,AM,2,to_60,other_pattern
DM,LCB,2,to_60,interior_exterior_opposite_side
RB,DM,2,to_60,switch_of_play
LB,AM,2,to_60,switch_of_play
LW,LCB,2,to_60,outer_inner_exit
AM,RCB,2,to_60,switch_of_play
DM,GK,2,to_60,other_pattern
DM,RB,2,to_60,other_pattern
LW,DM,2,to_60,outer_inner_exit
LCB,DM,2,to_60,outer_inner_exit
DM,DM,2,to_60,outer_inner_exit
RB,GK,2,to_60,switch_of_play
RCB,LW,2,to_60,center_exit_pattern
RCB,LW,2,to_60,interior_exterior_same_side
RB,CM,2,to_60,switch_of_play
RCB,CM,2,to_60,switch_of_play
AM,DM,1,to_60,outer_inner_exit
AM,RCB,1,to_60,outer_inner_exit
LCB,AM,1,to_60,center_exit_pattern
RCB,CM,1,to_60,interior_exterior_opposite_side
CM,LCB,1,to_60,interior_exterior_opposite_side
CM,CF,1,to_60,interior_exterior_opposite_side
CF,DM,1,to_60,interior_exterior_opposite_side
RCB,RW,1,to_60,switch_of_play
LCB,RCB,1,to_60,outer_inner_exit
RCB,CM,1,to_60,interior_exterior_same_side
CM,RW,1,to_60,interior_exterior_same_side
LCB,CM,1,to_60,center_exit_pattern
GK,LB,1,to_60,center_exit_pattern
LB,LCB,1,to_60,center_exit_pattern
GK,CM,1,to_60,interior_exterior_same_side
CM,CM,1,to_60,interior_exterior_same_side
CF,LCB,1,to_60,center_exit_pattern
DM,LW,1,to_60,switch_of_play
RCB,AM,1,to_60,interior_exterior_opposite_side
GK,DM,1,to_60,outer_inner_exit
DM,RCB,1,to_60,outer_inner_exit
RCB,LW,1,to_60,switch_of_play
GK,AM,1,to_60,switch_of_play
RB,CF,1,to_60,switch_of_play
AM,LW,1,to_60,interior_exterior_opposite_side
LW,AM,1,to_60,interior_exterior_opposite_side
DM,DM,1,to_60,interior_exterior_opposite_side
DM,RW,1,to_60,interior_exterior_opposite_side
RW,DM,1,to_60,interior_exterior_opposite_side
GK,CF,1,to_60,center_exit_pattern
AM,LW,1,to_60,outer_inner_exit
LW,RW,1,to_60,outer_inner_exit
LW,AM,1,to_60,interior_exterior_same_side
RCB,RW,1,to_60,interior_exterior_same_side
GK,CF,1,to_60,interior_exterior_same_side
LCB,RB,1,to_60,interior_exterior_opposite_side
DM,RCB,1,to_60,other_pattern
CF,DM,1,to_60,outer_inner_exit
RB,LW,1,to_60,interior_exterior_opposite_side
LCB,RB,1,to_60,interior_exterior_same_side
AM,LB,1,to_60,outer_inner_exit
CF,RB,1,to_60,interior_exterior_same_side
RW,RB,1,to_60,switch_of_play
LW,AM,1,to_60,switch_of_play
DM,LW,1,to_60,outer_inner_exit
RCB,LB,1,to_60,outer_inner_exit
LW,AM,1,to_60,outer_inner_exit
RB,DM,1,to_60,interior_exterior_opposite_side
DM,LB,1,to_60,other_pattern
DM,CF,1,to_60,other_pattern
CF,RW,1,to_60,other_pattern
LB,CF,1,to_60,outer_inner_exit
AM,RB,1,to_60,interior_exterior_opposite_side
RW,DM,1,to_60,outer_inner_exit
LW,DM,1,to_60,interior_exterior_opposite_side
LB,RW,1,to_60,other_pattern
CF,LB,1,to_60,interior_exterior_opposite_side
DM,GK,1,to_60,center_exit_pattern
GK,RW,1,to_60,interior_exterior_same_side
CF,RB,1,to_60,outer_inner_exit
LB,RW,1,to_60,interior_exterior_opposite_side
RW,RB,1,to_60,interior_exterior_opposite_side
GK,CF,1,to_60,outer_inner_exit
CF,RCB,1,to_60,outer_inner_exit
RCB,LCB,1,to_60,outer_inner_exit
RB,CF,1,to_60,other_pattern
LB,AM,1,to_60,interior_exterior_same_side
LCB,RB,1,to_60,other_pattern
AM,RB,1,to_60,other_pattern
LW,CF,1,to_60,outer_inner_exit
LCB,CF,1,to_60,outer_inner_exit
CF,AM,1,to_60,outer_inner_exit
LB,CF,1,to_60,switch_of_play
LCB,AM,1,to_60,switch_of_play
RCB,RCB,1,to_60,center_exit_pattern
DM,CF,1,to_60,interior_exterior_same_side
CF,RW,1,to_60,outer_inner_exit
RB,GK,1,to_60,outer_inner_exit
GK,LW,1,to_60,interior_exterior_same_side
LW,LCB,1,to_60,interior_exterior_same_side
GK,RW,1,to_60,outer_inner_exit
LB,DM,1,to_60,other_pattern
DM,DM,1,to_60,other_pattern
DM,GK,1,to_60,outer_inner_exit
DM,DM,1,to_60,center_exit_pattern
LCB,RB,1,to_60,switch_of_play
GK,RW,1,to_60,switch_of_play
LW,RCB,1,to_60,interior_exterior_same_side
LCB,AM,1,to_60,interior_exterior_same_side
RCB,GK,1,to_60,outer_inner_exit
DM,LB,1,to_60,outer_inner_exit
RCB,RW,1,to_60,interior_exterior_opposite_side
RW,LCB,1,to_60,interior_exterior_opposite_side
DM,GK,1,to_60,switch_of_play
AM,CF,1,to_60,switch_of_play
AM,CF,1,to_60,interior_exterior_same_side
RCB,RCB,1,to_60,outer_inner_exit
RB,RB,1,to_60,outer_inner_exit
RB,DM,1,to_60,outer_inner_exit
LB,CF,1,to_60,interior_exterior_opposite_side
LW,CM,1,to_60,switch_of_play
CM,DM,1,to_60,switch_of_play
RB,DM,1,to_60,other_pattern
LB,CM,1,to_60,interior_exterior_same_side
CM,LCB,1,to_60,interior_exterior_same_side
RB,CM,1,to_60,interior_exterior_same_side
CM,RCB,1,to_60,interior_exterior_same_side
CM,DM,1,to_60,interior_exterior_opposite_side
RB,CM,1,to_60,interior_exterior_opposite_side
CM,RB,1,to_60,interior_exterior_opposite_side
GK,RB,1,to_60,center_exit_pattern
RB,CM,1,to_60,center_exit_pattern
CM,DM,1,to_60,center_exit_pattern
DM,LB,1,to_60,center_exit_pattern
LW,RB,1,to_60,interior_exterior_opposite_side
CM,RB,1,to_60,switch_of_play
RW,CM,1,to_60,switch_of_play
CF,LCB,1,to_60,outer_inner_exit
CM,CF,1,to_60,interior_exterior_same_side
LW,CM,1,to_60,interior_exterior_same_side
RB,GK,1,to_60,interior_exterior_same_side
LCB,RW,1,to_60,interior_exterior_same_side
LCB,CF,1,to_60,interior_exterior_same_side
CF,LCB,1,to_60,interior_exterior_same_side
AM,LCB,1,to_60,switch_of_play
RB,LCB,1,to_60,switch_of_play
GK,LW,1,to_60,outer_inner_exit
AM,RW,1,to_60,outer_inner_exit
LB,DM,1,to_60,interior_exterior_opposite_side
DM,CF,1,to_60,switch_of_play
CF,DM,1,to_60,switch_of_play
CF,LB,1,to_60,interior_exterior_same_side
LCB,RW,1,to_60,switch_of_play
RW,RCB,1,to_60,interior_exterior_same_side
GK,LB,1,to_60,interior_exterior_opposite_side
LCB,CM,1,to_60,outer_inner_exit
CM,CM,1,to_60,outer_inner_exit
CM,DM,1,to_60,outer_inner_exit
RB,RW,1,to_60,other_pattern
CM,LW,1,to_60,switch_of_play
LW,CF,1,to_60,switch_of_play
CF,LB,1,to_60,switch_of_play
LW,LB,1,to_60,switch_of_play
